name,city,latitude,longitude,country_code
Wetpaint,Seattle,47.603122,-122.333253,USA
Wetpaint,New York,40.7237306,-73.9964312,USA
Digg,San Francisco,37.764726,-122.394523,USA
Geni,West Hollywood,34.090368,-118.393064,USA
StumbleUpon,San Francisco,37.775196,-122.419204,USA
Gizmoz,Menlo Park,37.48413,-122.169472,USA
Plaxo,Sunnyvale,37.387845,-122.055197,USA
Powerset,San Francisco,37.778613,-122.395289,USA
Mahalo,Culver City,34.017606,-118.487267,USA
Meetup,New York,40.72604,-73.995722,USA
Topix,Palo Alto,37.44296,-122.151198,USA
Coghead,Redwood City,37.476479,-122.221717,USA
SideStep,Santa Clara,37.374998,-121.977853,USA
Netvibes,Paris,48.870806,2.34668,FRA
Bebo,San Francisco,37.782103,-122.401116,USA
TVtrip,Paris,48.856667,2.350987,FRA
Meebo,Mountain View,37.393679,-122.079017,USA
Eventbrite,San Francisco,37.779507,-122.39071,USA
Newsvine,Seattle,47.618599,-122.358484,USA
Terabitz,Palo Alto,37.437328,-122.159928,USA
Seesmic,San Francisco,37.775196,-122.419204,USA
Zvents,San Mateo,37.553121,-122.301534,USA
Eventful,San Diego,32.872081,-117.206292,USA
oDesk,Redwood City,37.479952,-122.178557,USA
Flixster,San Francisco,37.766909,-122.406676,USA
Socialtext,Palo Alto,37.442949,-122.1615,USA
Respectance,San Mateo,37.55909,-122.321836,USA
eBuddy,Amsterdam,52.3640933,4.8919457,NLD
eBuddy,San Francisco,37.787683,-122.410943,USA
eBuddy,Singapore,51.500152,-0.126236,SGP
Phonezoo,Sunnyvale,37.386376,-121.991471,USA
Retrevo,Sunnyvale,37.368594,-122.034021,USA
AOL,New York,40.7311317,-73.9919311,USA
IMVU,Mountain View,37.3927975,-122.0727749,USA
Techstars,Boulder,40.010492,-105.276843,USA
Metacafe,San Francisco,37.437328,-122.159928,USA
Flock,Menlo Park,37.491356,-122.228843,USA
Sampa,Redmond,47.682233,-122.135521,USA
Yola,San Francisco,37.7911148,-122.3954751,USA
BitTorrent,San Francisco,37.790998,-122.394668,USA
Filtrbox,Palo Alto,40.010492,-105.276843,USA
Cloudant,Boston,42.35892,-71.05781,USA
Veotag,New York,40.752957,-73.98546,USA
Doostang,Palo Alto,37.427235,-122.145783,USA
DotBlu,San Francisco,37.09024,-95.712891,USA
NewsGator,Denver,39.755092,-104.988123,USA
Pluck,Austin,30.268735,-97.745209,USA
FilmLoop,Menlo Park,37.48413,-122.169472,USA
BitPass,Mountain View,37.40047,-122.072981,USA
Atom Entertainment,San Francisco,37.790964,-122.401128,USA
eHarmony,Santa Monica,34.145946,-118.132351,USA
Heavy,New York,40.753385,-73.98962,USA
OpenTable,San Francisco,37.785647,-122.405265,USA
Tacoda,New York,40.757929,-73.985506,USA
Mixercast,San Mateo,37.553743,-122.300246,USA
Wonga,London,51.5192042,-0.1626103,GBR
Tutor,New York,40.707921,-74.004792,USA
EyeJot,Seattle,47.5999337,-122.3276962,USA
Spiceworks,Austin,30.386601,-97.753739,USA
OnForce,Lexington,42.47218,-71.262508,USA
FlowPlay,Seattle,47.6015315,-122.335943,USA
Social Project,Santa Monica,34.01052,-118.495981,USA
Smartsheet,Bellevue,47.617842,-122.20052,USA
UpDown,Cambridge,42.375392,-71.118487,USA
mig33,Singapore,37.580304,-122.343679,SGP
SpeedDate,San Mateo,37.557637,-122.285714,USA
mEgo,Los Angeles,34.064491,-118.42749,USA
Mimeo,New York,40.745216,-73.982807,USA
PlaySpan,Santa Clara,37.396312,-121.961396,USA
Zannel,San Francisco,37.775196,-122.419204,USA
Zimbra,Palo Alto,37.557637,-122.285714,USA
Uptake,Palo Alto,37.443058,-122.161674,USA
Polyvore,Mountain View,37.386175,-122.083487,USA
23andMe,Mountain View,37.09024,-95.712891,USA
Automattic,San Francisco,37.744274,-122.421344,USA
Tumblr,New York,40.743808,-73.983626,USA
Disqus,San Francisco,37.786906,-122.397672,USA
Doppelganger,San Francisco,37.762162,-122.413912,USA
Vobile,Santa Clara,37.399208,-121.97895,USA
RealSelf,Seattle,47.620716,-122.347533,USA
FastBooking,Paris,37.09024,-95.712891,FRA
WildTangent,Redmond,37.09024,-95.712891,USA
Gilt Groupe,New York,40.74727,-73.9800645,USA
Kosmix,Mountain View,37.3867729,-122.0752224,USA
Goodreads,Santa Monica,34.01052,-118.495981,USA
Shoeboxed,Durham,35.996157,-78.902115,USA
Shoeboxed,Durham,35.9939,-78.8986,USA
PlayFirst,San Francisco,37.790346,-122.40185,USA
GridPoint,Arlington,38.888107,-77.091562,USA
HelioVolt,Austin,30.216908,-97.685078,USA
Ausra,Mountain View,37.446526,-122.117933,USA
Nanosolar,San Jose,37.264749,-121.789862,USA
Challenge Games,Austin,30.268236,-97.740651,USA
