name,city,latitude,longitude,country_code,Starbucks,Nightlife,transportation,preschool,veganRest,petService,Total,density
Heavy,New York,40.753385,-73.98962,USA,14,50,26,12,5,8,115,96.2
Optimum Energy,New York,40.7518919,-73.9875922,USA,14,50,19,13,7,10,113,92.3
Tripology,New York,40.746883,-73.983969,USA,8,50,13,16,12,10,109,85.4
Yipit,New York,40.744618,-73.987764,USA,9,50,12,14,14,10,109,85.2
Major League Gaming,New York,40.752672,-73.97593,USA,15,49,10,12,11,10,107,85.19999999999999
stickK,New York,40.744837,-73.983843,USA,10,50,8,15,17,10,110,84.7
Crispy Gamer,New York,40.750597,-73.985273,USA,11,50,13,13,9,10,106,84.5
Inform Technologies,New York,40.744639,-73.983963,USA,9,50,8,15,17,10,109,83.7
Mimeo,New York,40.745216,-73.982807,USA,8,50,10,14,15,10,107,82.8
TradeCard,New York,40.707729,-74.007801,USA,11,50,13,14,7,6,101,81.6
TradeCard,New York,40.707729,-74.007801,USA,11,50,13,14,7,6,101,81.6
Next New Networks,New York,40.743808,-73.983626,USA,8,50,6,16,16,10,106,80.8
Tumblr,New York,40.743808,-73.983626,USA,8,50,6,16,16,10,106,80.8
BountyJobs,New York,40.754211,-73.97917,USA,12,40,15,11,14,8,100,79.9
Business Insider,New York,40.73906,-73.990911,USA,5,50,11,16,10,10,102,79.2
iPerceptions,New York,40.7619759,-73.9725773,USA,7,49,9,10,17,10,102,78.4
Hunch,New York,40.741179,-73.993182,USA,5,50,11,15,8,10,99,77.3
Veotag,New York,40.752957,-73.98546,USA,9,50,11,10,8,8,96,76.6
Zemanta,New York,40.7387945,-73.9939213,USA,4,47,11,17,9,10,98,75.9
Phreesia,New York,40.739794,-73.985878,USA,5,50,6,16,12,10,99,75.4
XO Group,New York,40.720824,-74.00007,USA,3,50,12,12,11,9,97,75.4
CashEdge,New York,40.736796,-73.988339,USA,5,50,7,16,10,10,98,75.2
Gilt Groupe,New York,40.74727,-73.9800645,USA,10,50,6,13,5,10,94,74.1
OpTier,New York,40.754937,-73.985647,USA,9,50,9,10,10,5,93,74.0
Boonty,New York,40.717248,-74.002662,USA,5,49,10,14,9,7,94,73.60000000000001
TheMarkets,New York,40.762674,-73.9821315,USA,11,50,11,5,9,4,90,73.30000000000001
AOL,New York,40.7311317,-73.9919311,USA,4,50,5,14,13,10,96,72.6
HealthiNation,New York,40.739341,-73.988357,USA,4,50,5,16,10,10,95,72.2
SecondMarket,New York,40.705439,-74.012822,USA,8,50,13,7,5,5,88,71.9
Digital Railroad,New York,40.735327,-73.988469,USA,4,50,6,14,9,10,93,71.2
Admeld,New York,40.755253,-73.992152,USA,8,50,13,5,3,7,86,70.5
Blog Talk Radio,New York,40.757929,-73.985506,USA,9,50,11,6,7,3,86,70.2
Tacoda,New York,40.757929,-73.985506,USA,9,50,11,6,7,3,86,70.2
appssavvy,New York,40.724604,-73.996876,USA,3,50,8,10,9,10,90,69.4
Monitor110,New York,40.732748,-73.992607,USA,4,42,5,20,11,10,92,69.2
Cellfish,New York,40.761855,-73.983754,USA,10,50,9,4,7,5,85,69.0
Wetpaint,New York,40.7237306,-73.9964312,USA,3,50,9,9,10,7,88,68.5
Meetup,New York,40.72604,-73.995722,USA,4,46,8,12,8,10,88,68.0
Medialets,New York,40.756054,-73.986951,USA,9,50,8,6,7,4,84,67.80000000000001
TheLadders,New York,40.725883,-74.006196,USA,2,50,8,6,6,10,82,63.800000000000004
Tutor,New York,40.707921,-74.004792,USA,6,50,3,12,5,5,81,63.4
Knewton,New York,40.7310476,-74.0078134,USA,2,50,4,7,7,10,80,61.1
Recyclebank,New York,40.7310476,-74.0078134,USA,2,50,4,7,7,10,80,61.1
Firm58,New York,40.766734,-73.988265,USA,5,50,1,9,2,8,75,58.3
Bitly,New York,40.74034,-74.00721,USA,3,50,2,6,4,10,75,57.6
