name,city,latitude,longitude,country_code,Starbucks,Nightlife,transportation,preschool,veganRest,petService
Wetpaint,Seattle,47.603122,-122.333253,USA,2,11,11,4,1,3
Wetpaint,New York,40.7237306,-73.9964312,USA,3,17,9,9,10,7
StumbleUpon,San Francisco,37.775196,-122.419204,USA,2,2,6,10,4,3
Meetup,New York,40.72604,-73.995722,USA,4,12,8,12,8,13
Bebo,San Francisco,37.782103,-122.401116,USA,2,10,1,5,1,3
Seesmic,San Francisco,37.775196,-122.419204,USA,2,2,6,10,4,3
Flixster,San Francisco,37.766909,-122.406676,USA,4,4,3,6,1,4
eBuddy,San Francisco,37.787683,-122.410943,USA,6,7,5,3,2,1
AOL,New York,40.7311317,-73.9919311,USA,4,8,5,14,13,15
Yola,San Francisco,37.7911148,-122.3954751,USA,7,5,14,6,1,4
BitTorrent,San Francisco,37.790998,-122.394668,USA,6,3,11,5,3,4
Cloudant,Boston,42.35892,-71.05781,USA,5,6,18,9,6,2
Veotag,New York,40.752957,-73.98546,USA,9,25,11,10,8,8
Atom Entertainment,San Francisco,37.790964,-122.401128,USA,10,2,14,6,4,1
Heavy,New York,40.753385,-73.98962,USA,14,22,26,12,5,8
OpenTable,San Francisco,37.785647,-122.405265,USA,8,6,9,4,2,2
Tacoda,New York,40.757929,-73.985506,USA,9,29,11,6,7,3
Wonga,London,51.5192042,-0.1626103,GBR,3,11,14,1,2,1
Tutor,New York,40.707921,-74.004792,USA,6,1,3,12,5,5
FlowPlay,Seattle,47.6015315,-122.335943,USA,2,10,6,3,1,2
Smartsheet,Bellevue,47.617842,-122.20052,USA,5,1,1,4,2,2
mig33,Singapore,37.580304,-122.343679,SGP,1,1,5,7,1,2
Mimeo,New York,40.745216,-73.982807,USA,8,12,10,14,15,27
Zannel,San Francisco,37.775196,-122.419204,USA,2,2,6,10,4,3
Tumblr,New York,40.743808,-73.983626,USA,8,11,6,16,16,28
Disqus,San Francisco,37.786906,-122.397672,USA,4,4,7,4,2,4
Doppelganger,San Francisco,37.762162,-122.413912,USA,1,4,1,10,1,4
Gilt Groupe,New York,40.74727,-73.9800645,USA,10,6,6,13,5,19
PlayFirst,San Francisco,37.790346,-122.40185,USA,10,4,11,6,4,1
Oversee,Los Angeles,34.051368,-118.256305,USA,8,2,3,3,3,3
Zynga,San Francisco,37.765158,-122.404234,USA,3,5,2,9,1,3
Lookery,San Francisco,37.788266,-122.403865,USA,10,6,9,6,4,1
stickK,New York,40.744837,-73.983843,USA,10,11,8,15,17,28
TheLadders,New York,40.725883,-74.006196,USA,2,4,8,6,6,15
Inform Technologies,New York,40.744639,-73.983963,USA,9,11,8,15,17,28
Blog Talk Radio,New York,40.757929,-73.985506,USA,9,29,11,6,7,3
XO Group,New York,40.720824,-74.00007,USA,3,17,12,12,11,9
Phreesia,New York,40.739794,-73.985878,USA,5,6,6,16,12,25
Boonty,New York,40.717248,-74.002662,USA,5,11,10,14,9,7
99designs,San Francisco,37.7955307,-122.4005983,USA,7,13,12,5,4,2
Tripology,New York,40.746883,-73.983969,USA,8,15,13,16,12,26
Next New Networks,New York,40.743808,-73.983626,USA,8,11,6,16,16,28
Monitor110,New York,40.732748,-73.992607,USA,4,7,5,20,11,19
Netbooks,San Francisco,37.79471,-122.40195,USA,8,14,8,5,6,2
Digital Railroad,New York,40.735327,-73.988469,USA,4,5,6,14,9,21
Business Insider,New York,40.73906,-73.990911,USA,5,12,11,16,10,29
Zemanta,New York,40.7387945,-73.9939213,USA,4,11,11,17,9,29
Cellfish,New York,40.761855,-73.983754,USA,10,19,9,4,7,5
GitHub,San Francisco,37.775196,-122.419204,USA,2,2,6,10,4,3
Globant,London,51.5205095,-0.0952197,GBR,2,5,6,5,2,1
Globant,San Francisco,37.7819286,-122.4041764,USA,4,12,3,6,1,2
Daptiv,Seattle,47.604279,-122.337437,USA,4,9,5,3,1,2
TeachStreet,Seattle,47.6171788,-122.3370801,USA,2,9,1,2,3,9
Yoono,San Francisco,37.787204,-122.397884,USA,4,4,7,5,2,4
Knewton,New York,40.7310476,-74.0078134,USA,2,3,4,7,7,15
